student_id,debate_team,basketball_team,only_child,teacher_id,school_id,years_experience,class_size,pct_frl,pct_ell,pretest,posttest
1,0,0,1,39,26,5,12,0.26668567629531026,0.7934630094096065,209.73242563848044,440.30043732791626
2,0,0,1,208,17,5,27,0.03654719586484134,0.2661329871043563,258.9254118708076,536.9436320681573
3,0,1,1,129,23,1,19,0.03834434738382697,0.6661178111098707,234.7409563653885,504.92514096143583
4,1,0,0,479,31,4,20,0.46977853984571993,0.7659584856592119,360.96470841677956,722.7229706247078
5,0,0,0,55,6,7,26,0.7426119421143085,0.6856354165356606,326.729990297809,667.4092078261441
6,0,1,0,359,41,1,22,0.24443748919293284,0.13247077818959951,281.31737316597975,612.2952016880658
7,1,0,0,180,29,2,19,0.5533483980689198,0.980351353995502,295.4415570489835,550.137264419362
8,0,0,1,414,39,3,29,0.7841161577962339,0.6968751777894795,296.92016836808193,655.3243281887801
9,0,0,1,57,24,5,24,0.14149569114670157,0.8747874984983355,258.03411604650574,570.0207109436382
10,0,0,1,236,38,4,18,0.9087103542406112,0.1694229245185852,321.40406364653455,715.8059015420002
11,0,1,0,150,3,3,19,0.978013844229281,0.1299455715343356,386.5649186904524,719.1302504783894
12,0,0,0,387,43,12,24,0.11839594203047454,0.37822385248728096,235.6253604877315,485.46994541828815
13,1,0,0,483,6,6,23,0.7426119421143085,0.6856354165356606,365.5750407982779,708.523177448661
14,0,0,1,137,50,2,14,0.9892466596793383,0.7492987331934273,291.5019820723376,615.3424545466482
15,0,0,1,277,48,5,24,0.6061688305344433,0.4517896354664117,294.8882184626362,668.704296895058
16,1,0,0,16,26,3,16,0.26668567629531026,0.7934630094096065,246.08987130659483,399.73765963613863
17,0,0,0,35,29,8,25,0.5533483980689198,0.980351353995502,311.5576180763691,587.5675771049424
18,0,1,0,196,42,6,18,0.5309706551488489,0.07851310959085822,316.18798911452865,774.124767276443
19,0,0,1,43,31,4,16,0.46977853984571993,0.7659584856592119,278.75729947382223,572.0232026898717
20,1,0,1,89,41,5,23,0.24443748919293284,0.13247077818959951,301.4932577891469,577.2555322597365
21,1,1,0,94,32,2,21,0.39761656103655696,0.7758463725913316,326.5266767865542,663.072213196079
22,0,0,0,177,19,5,23,0.48323641112074256,0.5905635331291705,238.51390776253578,502.83177443132433
23,1,0,0,80,19,3,18,0.48323641112074256,0.5905635331291705,304.5353097720722,574.1226165533504
24,0,0,0,433,23,8,29,0.03834434738382697,0.6661178111098707,233.10159459143176,521.798976210337
25,0,1,0,87,4,5,28,0.20132735022343695,0.74613202130422,309.30573896587254,633.8363862928527
26,0,0,0,72,47,7,22,0.3773106967564672,0.7403151453472674,271.13754352758787,530.8748702573677
27,1,1,1,471,35,5,20,0.6349153537303209,0.31414990592747927,352.03009019104394,778.972964888636
28,1,0,0,205,26,5,20,0.26668567629531026,0.7934630094096065,272.7725536212789,564.3388220249187
29,0,0,0,72,47,7,22,0.3773106967564672,0.7403151453472674,234.1590212329845,534.648973080691
30,0,1,0,315,3,6,23,0.978013844229281,0.1299455715343356,356.5370377550331,745.6499973789023
31,0,0,1,359,41,1,22,0.24443748919293284,0.13247077818959951,260.873110453855,481.6424043870365
32,0,0,0,304,50,4,18,0.9892466596793383,0.7492987331934273,300.828764722021,557.5371573395304
33,0,0,1,377,24,3,22,0.14149569114670157,0.8747874984983355,262.07283697715854,599.8092642667451
34,1,0,0,55,6,7,26,0.7426119421143085,0.6856354165356606,367.4441274931606,725.6880088871923
35,0,0,1,19,38,6,21,0.9087103542406112,0.1694229245185852,289.8910474368863,541.5294270302447
36,1,0,1,87,4,5,28,0.20132735022343695,0.74613202130422,274.6281159007419,610.8347445046418
37,0,0,0,95,28,3,17,0.6121745223645121,0.048944066278636456,253.68452997967273,522.098405188951
38,0,0,0,423,49,5,22,0.5121942616533488,0.6461082133464515,320.8751453087584,710.8353993664459
39,1,1,0,139,3,4,20,0.978013844229281,0.1299455715343356,345.6559989981098,697.6034917317302
40,0,0,1,477,14,4,25,0.14216354000382125,0.6515949983149767,281.5456581493678,655.8896775526562
41,0,0,0,427,34,4,23,0.5088973850943148,0.8422173084691167,291.0956172938046,656.9175744233945
42,1,0,0,88,14,4,18,0.14216354000382125,0.6515949983149767,263.8326500146408,361.57728708302005
43,0,1,1,215,33,8,15,0.8046367336064577,0.31251504993997514,370.2456403567103,841.2372632235682
44,0,0,0,275,1,5,12,0.774368490325287,0.06913358555175364,238.09844867641286,471.28249585184227
45,0,0,0,330,24,3,29,0.14149569114670157,0.8747874984983355,310.68110703932234,661.0192061052708
46,1,0,0,238,18,3,14,0.8916374130640179,0.9109178960788995,360.721554666628,738.0029546371833
47,0,1,0,358,1,1,29,0.774368490325287,0.06913358555175364,350.4208209449788,640.5065012487365
48,0,0,1,123,7,5,17,0.9787284394260496,0.14397736149840057,294.77930945932854,588.6752249473052
49,1,1,0,489,18,5,26,0.8916374130640179,0.9109178960788995,329.83639199928916,726.603086276701
50,1,1,0,497,42,5,19,0.5309706551488489,0.07851310959085822,310.61928386712896,622.10020440449
51,0,0,1,161,41,3,18,0.24443748919293284,0.13247077818959951,301.8265621468126,580.4113006290505
52,0,1,1,215,33,8,15,0.8046367336064577,0.31251504993997514,291.2632692456561,662.0739152994225
53,0,0,0,350,19,4,16,0.48323641112074256,0.5905635331291705,306.14821269438875,576.8759116591062
54,0,0,0,276,24,6,16,0.14149569114670157,0.8747874984983355,291.7538038651573,627.1903079019683
55,0,0,0,386,10,8,30,0.25994612858630717,0.03773271921090782,294.61713614335457,562.8549216633529
56,0,0,0,478,14,3,20,0.14216354000382125,0.6515949983149767,265.862702153229,585.4091252428457
57,0,0,0,373,13,8,16,0.09574478422291577,0.2606025456916541,274.56092858621133,596.5315527976712
58,0,1,0,160,20,6,19,0.4666645280085504,0.9181476451922208,278.52705760898124,688.9870059102658
59,1,1,0,179,28,1,17,0.6121745223645121,0.048944066278636456,373.7998278427708,744.7218441620296
60,0,0,1,128,22,3,25,0.6013455470092595,0.32826394867151976,312.2127024494813,582.2611912607823
61,0,0,1,488,1,9,17,0.774368490325287,0.06913358555175364,330.09998941878575,716.2125989610366
62,1,1,1,490,34,7,20,0.5088973850943148,0.8422173084691167,375.83543176768967,748.1564862893316
63,0,0,0,317,10,7,22,0.25994612858630717,0.03773271921090782,325.01729293026625,635.0157826970083
64,0,0,1,158,19,2,24,0.48323641112074256,0.5905635331291705,235.29391845401176,472.2433858552349
65,0,1,0,6,41,7,27,0.24443748919293284,0.13247077818959951,254.221664174071,519.9747194853254
66,0,0,1,146,8,6,22,0.49811370903626084,0.8910799578297883,246.03810851446505,583.7219562199075
67,0,0,0,281,37,4,27,0.28013089881278574,0.967524380190298,266.9864447978214,522.3484853552421
68,0,0,0,19,38,6,21,0.9087103542406112,0.1694229245185852,278.5099592304048,682.2852223618203
69,0,0,1,78,6,6,20,0.7426119421143085,0.6856354165356606,311.7560562238271,577.190644711804
70,0,1,0,401,17,7,15,0.03654719586484134,0.2661329871043563,248.93021326410084,568.7523654523791
71,0,1,0,152,17,4,17,0.03654719586484134,0.2661329871043563,198.0583152159224,401.63294868411845
72,0,0,1,484,25,6,18,0.8063855252694339,0.0688752664718777,332.39789062527433,623.8437349941753
73,0,0,1,392,47,7,15,0.3773106967564672,0.7403151453472674,234.04951944400665,453.25903801364717
74,1,0,1,376,36,2,28,0.49425172130577266,0.7565638932865113,292.5266470347008,665.68318642112
75,0,0,0,345,19,3,33,0.48323641112074256,0.5905635331291705,284.8488979723954,665.2219075969123
76,0,0,1,19,38,6,21,0.9087103542406112,0.1694229245185852,297.34040474487864,551.4230775572305
77,0,0,1,262,23,5,27,0.03834434738382697,0.6661178111098707,219.72973936752652,438.2948221361511
78,1,1,0,62,36,2,23,0.49425172130577266,0.7565638932865113,308.101143618746,626.4957265303251
79,1,0,0,199,7,7,24,0.9787284394260496,0.14397736149840057,335.6580745142517,729.0676438180637
80,0,1,0,215,33,8,15,0.8046367336064577,0.31251504993997514,311.16456115430054,717.7512889693667
81,0,0,0,487,47,4,15,0.3773106967564672,0.7403151453472674,273.19021241400134,583.2647527443731
82,1,0,0,319,50,4,21,0.9892466596793383,0.7492987331934273,339.49583025540846,673.2606762073298
83,0,0,0,338,7,3,26,0.9787284394260496,0.14397736149840057,234.00722977024918,523.197300214618
84,1,0,0,439,17,6,23,0.03654719586484134,0.2661329871043563,297.77463120994014,665.4276535804686
85,0,0,1,184,28,3,25,0.6121745223645121,0.048944066278636456,270.88091295409845,598.7638329812607
86,1,0,1,334,20,1,21,0.4666645280085504,0.9181476451922208,343.56658448290403,664.4815556486664
87,0,1,0,389,10,7,21,0.25994612858630717,0.03773271921090782,264.98110255122975,568.9972062273533
88,0,0,0,108,30,4,23,0.8535007652826607,0.9145373487845063,323.7503749256942,677.6890468842081
89,0,0,0,384,7,4,21,0.9787284394260496,0.14397736149840057,336.36089945811216,660.6465242539535
90,1,1,1,81,43,4,20,0.11839594203047454,0.37822385248728096,310.01107879150726,724.1527534890857
91,0,0,0,284,10,6,19,0.25994612858630717,0.03773271921090782,234.2449450415464,515.824229257037
92,0,0,1,111,31,6,19,0.46977853984571993,0.7659584856592119,262.4730232802763,547.353229610009
93,1,0,1,4,40,6,11,0.5589970224536955,0.8726507888641208,276.22103548846746,557.5468934662288
94,0,1,0,221,37,7,22,0.28013089881278574,0.967524380190298,239.40459481276164,458.94629318330226
95,0,1,0,432,12,6,22,0.016379052540287375,0.8120638781692833,288.39377573402413,599.7565713241427
96,0,1,0,330,24,3,29,0.14149569114670157,0.8747874984983355,213.4034413567952,467.98572504942484
97,0,0,0,224,9,6,12,0.013315835734829307,0.08963611628860235,193.03423783199736,404.96050558628605
98,1,0,0,398,47,4,13,0.3773106967564672,0.7403151453472674,313.4646433526131,658.4902842442089
99,1,0,0,342,36,4,9,0.49425172130577266,0.7565638932865113,273.9217033281373,595.9513198311389
100,0,0,0,157,46,8,28,0.7385737628210336,0.10853192373178899,305.8656468813241,688.4009174527591
101,1,0,1,119,29,3,20,0.5533483980689198,0.980351353995502,280.365467346316,579.7533348268748
102,0,0,0,116,48,3,20,0.6061688305344433,0.4517896354664117,271.3187455555177,636.8294719695825
103,0,0,0,313,17,8,17,0.03654719586484134,0.2661329871043563,238.28329054191428,573.3554389366735
104,1,0,0,34,14,5,15,0.14216354000382125,0.6515949983149767,268.2051597078302,500.26168816508186
105,0,0,0,444,16,3,16,0.8112564436160028,0.26610612077638507,351.5505831117433,691.0366000745202
106,0,1,0,249,42,3,20,0.5309706551488489,0.07851310959085822,278.2303231053048,598.506647472143
107,0,0,0,274,40,3,20,0.5589970224536955,0.8726507888641208,314.36355602830434,640.092994160007
108,1,0,0,347,2,3,14,0.19722419138997793,0.08462062571197748,296.6730541804508,583.7055323607026
109,0,0,0,158,19,2,24,0.48323641112074256,0.5905635331291705,244.80022990983565,497.0586422916398
110,1,1,0,460,32,4,23,0.39761656103655696,0.7758463725913316,308.95183671685845,697.9773626974518
111,0,1,1,164,3,5,26,0.978013844229281,0.1299455715343356,334.3672616919366,622.9588426258546
112,0,0,0,208,17,5,27,0.03654719586484134,0.2661329871043563,213.53902761329022,477.89633800437934
113,1,1,0,173,33,8,23,0.8046367336064577,0.31251504993997514,391.0526478835785,682.5543400662718
114,0,1,1,270,29,7,22,0.5533483980689198,0.980351353995502,331.41014360364403,683.0673645987863
115,0,0,0,42,48,5,20,0.6061688305344433,0.4517896354664117,312.91780962425673,576.3664013951206
116,0,0,0,414,39,3,29,0.7841161577962339,0.6968751777894795,286.2410230885117,644.6560438139163
117,0,1,0,259,39,3,28,0.7841161577962339,0.6968751777894795,304.70118328924605,615.7840525892525
118,0,0,0,83,34,5,24,0.5088973850943148,0.8422173084691167,311.77620627204175,617.8972334375466
119,0,1,0,249,42,3,20,0.5309706551488489,0.07851310959085822,329.05022228403084,725.051558093202
120,1,1,0,27,35,3,22,0.6349153537303209,0.31414990592747927,314.377379704836,617.7998932513653
121,1,0,0,230,22,3,18,0.6013455470092595,0.32826394867151976,299.72334760697,635.5983174199484
