"id","group","date","age","item","resp"
G127232,Study 1 - Symptom primed by Frame,1631875902,18,grit_diligent,3
G127232,Study 1 - Symptom primed by Frame,1631875902,18,grit_focus,2
G127232,Study 1 - Symptom primed by Frame,1631875902,18,grit_goals,3
G127232,Study 1 - Symptom primed by Frame,1631875902,18,grit_hardworking,2
G127232,Study 1 - Symptom primed by Frame,1631875902,18,grit_setbacks,2
G127232,Study 1 - Symptom primed by Frame,1631875902,18,grit_new_projects,3
G127232,Study 1 - Symptom primed by Frame,1631875902,18,grit_finish,2
G127232,Study 1 - Symptom primed by Frame,1631875902,18,grit_interest,2
S062124,Study 1 - Symptom primed by Frame,1636048192,18,grit_diligent,3
S062124,Study 1 - Symptom primed by Frame,1636048192,18,grit_goals,1
S062124,Study 1 - Symptom primed by Frame,1636048192,18,grit_setbacks,1
S062124,Study 1 - Symptom primed by Frame,1636048192,18,grit_hardworking,4
S062124,Study 1 - Symptom primed by Frame,1636048192,18,grit_finish,1
S062124,Study 1 - Symptom primed by Frame,1636048192,18,grit_new_projects,2
S062124,Study 1 - Symptom primed by Frame,1636048192,18,grit_interest,1
S062124,Study 1 - Symptom primed by Frame,1636048192,18,grit_focus,1
T038085,Study 1 - Symptom primed by Frame,1636121820,18,grit_diligent,2
T038085,Study 1 - Symptom primed by Frame,1636121820,18,grit_interest,3
T038085,Study 1 - Symptom primed by Frame,1636121820,18,grit_hardworking,3
T038085,Study 1 - Symptom primed by Frame,1636121820,18,grit_finish,2
T038085,Study 1 - Symptom primed by Frame,1636121820,18,grit_goals,3
T038085,Study 1 - Symptom primed by Frame,1636121820,18,grit_setbacks,1
T038085,Study 1 - Symptom primed by Frame,1636121820,18,grit_focus,4
T038085,Study 1 - Symptom primed by Frame,1636121820,18,grit_new_projects,4
C11680,Study 2 - Frame primed by symptom,1649861585,18,grit_new_projects,3
C11680,Study 2 - Frame primed by symptom,1649861585,18,grit_focus,1
C11680,Study 2 - Frame primed by symptom,1649861585,18,grit_interest,2
C11680,Study 2 - Frame primed by symptom,1649861585,18,grit_finish,3
C11680,Study 2 - Frame primed by symptom,1649861585,18,grit_setbacks,1
C11680,Study 2 - Frame primed by symptom,1649861585,18,grit_goals,2
C11680,Study 2 - Frame primed by symptom,1649861585,18,grit_diligent,3
C11680,Study 2 - Frame primed by symptom,1649861585,18,grit_hardworking,4
L47609,Study 2 - Frame primed by symptom,1649976402,18,grit_goals,5
